,T1R1,T1R2,T2R1,T2R2,T3R1,T4R1,T4R2,T5R1,T5R2,T6R1,T6R2,T7R1,T7R2,T8R1,T8R2,T9R1,T9R2,T10R1,T10R2,T11R1,T11R2
AT1G10120,3.908143221,3.810940874,3.6097565,3.819558737,2.663984605,3.298208971,3.167331213,2.314519041,2.777008655,3.331530922,3.40882429,2.771097279,2.292895289,3.941853187,3.909786326,3.239807905,3.393890451,2.658885277,2.484917435,2.822573507,3.014770703
AT1G10170,5.741110636,5.793716119,7.01574886,6.620861442,6.86199512,6.501843335,6.78581084,4.991349562,5.114768953,5.569544913,5.608671255,5.39767017,5.241496136,7.490207422,7.297922572,5.83325007,5.624744451,5.885235712,5.473833936,5.70876511,5.858307962
AT1G10240,3.381544883,3.270573327,3.904923527,3.721155032,3.841289137,3.852144577,3.554354336,3.030150493,2.90998252,3.008261409,3.175264778,3.253374116,3.579776437,2.708710381,2.78497987,2.859903943,3.036161634,3.829632093,3.378002232,3.300936942,3.232575855
AT1G10320,3.52653995,3.417103734,3.111798041,3.304230424,2.707705983,2.135937543,3.167331213,3.660076882,3.509988901,3.231612114,3.971365496,2.424174805,2.934441318,3.570073405,3.479613967,3.062324943,3.226085501,3.101403513,2.892575404,2.552121629,2.856818344
AT1G10585,-0.744563886,-0.182446303,-1.114270038,-0.025270891,-3.358383208,-2.25637988,-2.118071006,0.069896672,1.378459279,-1.280499822,-1.025162312,-0.355435127,-0.235483684,3.602956767,2.928265747,-0.18298187,0.257518009,-1.041554441,-0.807864314,-1.240436291,2.277805109
AT1G10610,2.774164916,2.865143156,1.859734753,2.169745091,1.396504294,1.831082961,0.203857089,2.416699436,1.936949568,2.336884157,2.995497158,1.760042091,1.490341353,1.760638173,1.483189421,2.325359349,2.245027065,2.191106315,1.824403902,2.060733244,1.77084512
AT1G12260,1.33635611,0.799851695,-0.462193342,0.481689098,-1.773420707,-2.25637988,-0.533108505,0.903886721,1.088952661,1.237348483,0.403680987,-4.262325722,-3.935923402,-0.224862258,-0.130627942,0.31658914,1.232427028,-1.041554441,-0.807864314,-1.240436291,-1.254689972
AT1G12860,5.092214797,4.99040803,4.377583058,4.612497969,2.422976506,1.991547633,0.689283916,5.064004104,5.06266597,4.709217205,4.83854746,3.709217832,4.035620152,2.693523977,2.90712698,5.335162524,5.301912128,4.315997563,4.447636419,4.606844816,4.112880789
AT1G13260,2.062791036,2.759209711,1.363777259,4.352510439,2.524259842,3.626263169,3.011212011,2.366513678,2.945827719,1.237348483,1.649437401,1.966492968,2.172601055,1.471131556,2.191300152,1.673282653,2.675661419,3.154842771,2.542632933,1.378473542,2.166773797
AT1G13300,1.704743515,2.082053512,-0.751699959,-1.465843482,-0.551028286,-2.25637988,-2.118071006,-2.868702783,-4.402900435,-0.216369484,0.029285472,-0.355435127,1.018272909,-2.061363525,-1.474582344,1.528892743,1.014246858,1.590713774,0.777098187,-0.877866211,0.330272529
AT1G13450,4.574587124,4.590572255,4.139070971,4.238554249,4.786275035,4.37297674,4.389723634,3.435077965,3.700387374,3.787545566,4.09776521,3.999769123,4.12477253,3.778739979,3.936113608,3.91032185,3.752683839,4.565282559,4.818574823,3.631688887,3.826698355
AT1G13600,-0.357540763,-0.182446303,0.936356035,1.15306635,2.57235413,0.065548215,-0.533108505,-0.753225566,-2.817937934,-0.347614018,-1.025162312,-1.092400721,-0.476491783,-1.698793446,-0.220825751,-0.953500024,-1.793108064,-1.248005319,-0.807864314,0.906405098,-0.602613275
AT1G13960,3.881425883,4.03931763,2.819842026,3.039684551,1.927019011,1.650510715,2.40549095,3.827105486,3.781974908,3.818489273,4.09776521,3.431161235,3.412804753,3.666556929,3.904462722,3.683550988,3.84662024,3.133704004,3.556708119,2.894723293,2.971378108
AT1G14350,3.845015243,3.92964351,3.391257995,3.420288553,2.663984605,2.788014239,2.636816496,3.86374733,3.304458697,3.970874993,3.892783472,3.902581204,3.700701219,2.72373859,3.212995224,2.953390572,3.174324073,3.43093333,3.584453109,3.980114784,3.500197531
AT1G14410,4.639804784,4.653527053,5.109042176,4.678086311,5.406488383,5.092348274,4.958744591,4.662678677,4.759490894,4.181909497,3.794034223,4.468993309,4.630130636,4.094177558,3.734871022,4.50013375,4.413557484,4.892332887,4.644994651,5.654381473,5.543434624
AT1G14440,4.306540455,4.123559797,4.233193149,4.345187098,3.990344946,3.029022339,3.09138236,4.2152197,4.060623938,4.222964565,4.219841806,3.980848261,4.000714537,2.407405958,2.518464896,4.626148677,4.710149796,4.162690633,3.989148664,4.656112361,4.563663949
AT1G14580,4.293088656,4.223214059,3.826567889,4.097489002,4.48082058,4.820435717,4.511285614,4.75822301,4.861542165,4.386773032,4.668860664,5.17438582,5.049918535,4.621129513,4.678287494,4.852338666,4.865103419,5.156153717,5.389843844,4.837905161,4.62094969
AT1G14600,1.437639445,0.902945188,1.207658057,1.704081519,1.285472982,0.913545121,0.689283916,1.477072054,1.378459279,0.686333314,0.889107814,1.023076497,0.707932788,-0.224862258,-0.130627942,-0.18298187,0.684939233,0.934198012,0.570647309,1.081491804,1.429808203
AT1G14685,5.111502451,4.978654848,4.667089675,4.779369646,5.281861728,5.038240869,5.176549743,5.071855525,4.948038747,4.993083881,5.118319021,5.057346399,4.828948189,4.521450509,4.693800493,5.20340097,4.827897187,5.303037374,5.443854779,5.211952051,4.865733068
AT1G14687,-0.744563886,0.292891707,-1.114270038,0.771195715,-3.358383208,-2.25637988,0.689283916,1.16104456,0.240955755,0.545470779,0.318792089,0.866957295,0.587638554,0.912641266,0.802257862,0.740396849,0.443931133,0.18083798,0.570647309,0.707096289,0.795936101
AT1G14920,4.762010716,4.831778337,4.508827591,4.308002178,3.696899228,4.613984839,4.870613681,4.468175653,4.116735818,4.127347299,3.863112605,5.320757045,5.20106771,4.74415005,4.63072181,4.274186697,4.279120263,4.697213395,4.795020095,5.164097082,5.006733384
AT1G15720,1.437639445,1.228186017,1.504639794,1.0843536,1.851070158,0.065548215,0.203857089,0.755788082,0.240955755,0.932493902,0.318792089,1.519033991,1.018272909,1.197370743,1.483189421,1.148861694,0.954125866,1.117644154,0.32963921,1.378473542,0.982349226
AT1G15790,0.309883898,1.14650222,0.833262542,1.0843536,0.729079633,0.550975042,0.689283916,1.654859173,0.806552931,1.703012055,1.424145089,1.966492968,1.018272909,2.444164508,2.155894816,0.168490501,0.608990379,0.982292301,0.570647309,1.733568501,1.295507111
AT1G16060,1.858777144,1.860881129,2.453414471,2.92647394,-1.036455113,1.650510715,0.203857089,0.903886721,1.479742614,2.358100643,2.474070315,1.668411615,1.791997053,2.142508808,2.137860894,2.610088826,2.294354777,1.590713774,1.393769547,2.917993072,2.537867949
AT1G16530,-2.123075509,-1.147680885,-1.114270038,-1.103273403,-3.358383208,-2.25637988,-0.533108505,-1.646310362,-1.595545513,0.304462679,0.029285472,-0.802894104,0.456394021,-1.409286829,-0.927094548,-0.648645442,0.608990379,0.606143815,0.040132593,1.624634129,1.429808203
AT1G16640,0.078558352,0.132427035,-0.462193342,-0.572758686,0.34205651,0.913545121,1.78881959,-0.205737771,-0.943468816,-0.216369484,-0.638139189,-0.174862881,-0.235483684,0.085477863,0.316831035,-2.71903477,-1.793108064,-1.778520035,-0.807864314,-0.877866211,0.795936101
